Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longtitude
Liang Court,"177 River Valley Road, S(179030)",\$1.28/hr from 7am to 6pm,\$3.21/entry 6.01pm to 6.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day,1.2915874,103.8447075
Liat Towers,"541 Orchard Road, S(238881)","\$2.50 for 1st hr, \$1.30 for next subsequent 30min from 7am to 6pm",\$3.80/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays,1.3051127,103.8306737
Health Promotion Board,"3 Second Hospital Avenue, S(168937)",\$0.036/min from 7am to 10pm,\$2.14/entry from 10pm to 7am the following day,Charges same as weekdays,"\$0.018/min from 7am to 10pm, \$2.14/entry from 10pm to 7am the following day",1.279555,103.838369
Lippo Centre,"78 Shenton Way, S(079120)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.2731276000000002,103.84509840000001
Lot One,"21 Choa Chu Kang Avenue 4, S(689812)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm",\$2.57/entry from 6pm to 2.59am the following day,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.384848,103.745046
Loyang Point,"258 Pasir Ris Street 21, S(510258)",\$0.50/30min from 7am to 5pm,"\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,\$1.00/entry from 7am to 7am the following day,1.3668286,103.96462530000001
Lucky Plaza,"304 Orchard Road, S(238863)","\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 4.59pm",\$3.38/entry from 5pm to 6.59am the following day,Charges same as Weekdays,"\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 9.59pm. \$3.38/entry from 10pm to 6.69am on Sunday, \$4.00/entry from 7am to 6.59am the following day on Public Holiday",1.3045755,103.83403440000001
Grand Hyatt Singapore,"10 Scotts Road, S(228211)","\$3.21 for 1st hr, \$1.07 for next subsequent 30min from 4am to 4.59pm",\$5.35/entry from 5pm to 3.59am the following day,Charges same as weekdays,\$5.35/entry from 4am to 3.59am the following day,1.3063489,103.8332473
Grand Mercure Roxy Hotel,"50 East Coast Road, S(428769)",\$1.60/hr from 6am to 6am the following day,\$1.60/hr from 6am to 6am the following day,Charges same as weekdays,Charges same as weekdays,1.3039693,103.90426590000001
Grand Park City Hall,"10 Coleman Street, S(179809)","\$3.28 for 1st hr, \$1.55 for next subsequent 30min from 8am to 5pm",\$5.35/entry from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.2925294,103.8500981
Great Eastern @ Changi,"200 Changi Road, S(419734)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3172306,103.9034857
The Chevrons,"48 Boon Lay Way, S(609961)",\$1.00/hr from 7am to 4.59pm from Mon to Thurs,"\$2.00/entry from 5pm to 6.59am the following day from Mon to Thurs, \$3.00/entry from 5pm to 6.59am the following day on Fri","\$1.00/hr from 7am to 4.59pm, \$3.00/entry from 5pm to 6.59am the following day",\$2.00/entry from 7am to 6.59am the following day,1.3309643,103.7486882
Great World City,"1 Kim Seng Promenade, S(237994)",\$1.66/hr from 6.01am to 5pm,\$3.53/entry from 5.01pm to 6am the following day,\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day,\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day,1.2936326,103.83196650000001
Greenridge Shopping Centre,"524A Jelapang Road, S(671524)","\$0.60/30min from 7am to 12pm, free parking from 12pm to 2pm, \$0.60/30min from 2pm to 5pm","\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,\$1.00/entry from 7am to 7am the following day,1.3853183999999998,103.7662365
Guthrie House,"1 Fifth Avenue, S(268802)","\$0.02/min from 8am to 12pm \$0.02/min from 2pm to 6pm for the 1st 30min, \$0.05/min thereafter. \$0.08/min from 12pm to 2pm",\$0.06/min up to a maximum charge of \$3.60 from 6pm to 8am the following day,"\$0.04/min for 1st 30min, \$0.02/min for next subsequent min",\$2.00/entry from 8am to 8am the following day,1.3309189,103.7957304
HarbourFront Centre,"1 Maritime Square, S(099253)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm","\$2.60/entry from 6pm to 1am the following day, \$2.04/hour from 1am to 7am the following day",Charges Same as Weekdays,Charges Same as Weekdays,1.2641701,103.82026450000001
HDB Hub (Toa Payoh),"480 Toa Payoh Lorong 6, S(310480)",HDB / URA parking rates from 7am to 6pm,"\$1.50/entry from 6pm to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day",Charges same as weekdays,"\$1.50/entry from 7am to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day",1.3325138,103.8485343
High Street Centre,"1 North Bridge Road, S(179094)",\$3.21/hr from 7am to 5pm,\$3.21/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.21/entry from 7am to 7am the following day,1.2900089,103.8494332
Hilton Hotel,"581 Orchard Road, S(238883)","\$7.00 for 1st hr, \$3.50 for next subsequent 30min from 7am to 6pm",\$7.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$7.00/entry from 7am to 7am the following day,1.3053947,103.8294932
Hitachi Tower / Caltex House,"16 Collyer Quay, S(049318)",\$3.00/30min from 7.30am to 6.29pm,\$3.50/entry from 6.30pm to 7.29am the following day,"\$2.75/30min from 7.30am to 12.59pm, 3.30/entry from 1pm to 7.29am the following day",\$3.50/entry from 7.30am to 7.29am the following day,1.2842186000000002,103.852603
Lumiere,"2 Mistri Road, S(079624)",\$2.50/hr from 12 midnight to 6pm,\$3.00/entry from 6pm to 12midnight,"Charges same as weekdays, but \$3.00/entry after 1pm",\$3.00/entry,1.2743316,103.8460969
Holiday Inn Hotel - Parkview,"11 Cavenagh Road, S(229616)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3023481,103.84100079999999
Holland Road Shopping Centre,"211 Holland Avenue, S(278967)",\$2.20/30min from 12midnight to 8.59pm from Mon-Thurs,\$4.80/entry from 9pm to 12midnight the following day from Mon-Thurs,"\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday","\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday",1.3103846000000001,103.79537859999999
Hong Leong Building,"16 Raffles Quay, S(048581)",\$3.00/30min from 7am to 5.59pm,\$2.00/hr from 6pm to 6.59am the following day,"\$3.00/30min from 7am to 12.59pm, \$2.00/hr from 1pm to 6.59am the following day",\$2.00/hr from 7am to 6.59am the following day,1.2814094999999999,103.85101850000001
Hotel Asia,"37 Scotts Road, S(228229)",Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,1.311453,103.83592800000001
Singapore Art Museum,"71 Bras Basah Road, S(189555)",Limited Free Parking Lots,Limited Free Parking Lots,Not for public,Not for public,1.2974135,103.8510244
Singapore Tourism Board (STB),"1 Orchard Spring Lane, S(247729)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8.30am to 6pm",Car Park closed after 6pm,Closed,Closed,1.3038034,103.8240486
Hotel Rendezvous,"9 Bras Basah Road, S(189559)",\$3.70/hr from 7am to 5pm,\$3.70/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.2985243999999998,103.8492987
Hotel Royal Queens,"12 Queen Street, S(188553)",\$1.28/30min from 8am to 6pm,\$3.21/entry 6pm to 8am the following day,Charges same as weekdays,\$3.21/entry from 8am to 8am the following day,1.297675,103.85216
Hotel Windsor,"401 Macpherson Road, S(368125)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.3317581,103.87948309999999
Hougang Mall,"90 Hougang Avenue 10, S(538766)","\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight",1.3724306999999998,103.8937797
