Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude,Coord,Latitude_rad,Longitude_rad,Coord_rad
Bugis Junction,"200 Victoria Street, S(180021)","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm from Mon to Thur","\$2.70/entry from 5pm to 8am the following day from Mon to Thurs, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day",1.2995988,103.8556781,"(1.2995988000000001, 103.85567809999999)",0.022682278014967285,1.8126235297363689,"(0.022682278014967285, 1.8126235297363689)"
Park Mall,"9 Penang Road, S(238459)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2978753,103.8452072,"(1.2978753000000001, 103.8452072)",0.022652197265309162,1.8124407780557217,"(0.022652197265309162, 1.8124407780557217)"
Parklane,"35 Selegie Road, S(188307)","\$3.20 for 1st hr, \$1.60 for next subsequent 30min from 7am to 7pm",\$3.75/entry from 7pm to 12midnight. Additional Overnight Charge at \$3.75/entry from 12midnight to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 12midnight,1.3006918,103.8493463,"(1.3006918000000001, 103.84934629999999)",0.02270135446369158,1.8125130189787908,"(0.022701354463691582, 1.8125130189787908)"
Parkview Square,"600 North Bridge Road, S(188778)","\$2.14/hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$5.35/4hr from 5pm to 7am the following day,Charges same as weekdays but \$5.35/4hr from 1pm to 7am the following day,\$5.35/4hr from 7am to 7am the following day,1.300164,103.8577221,"(1.3001639999999999, 103.85772209999999)",0.022692142615899556,1.8126592042662795,"(0.022692142615899556, 1.8126592042662795)"
Parkway Parade,"80 Marine Parade Road, S(449269)","\$1.00 for 1st hr, \$0.40 for subsequent 30min from 6am to 6pm",\$1.50/entry from 6pm to 2am the following day,"\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 6am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day","\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 6am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day",1.3014083,103.9052872,"(1.3014083000000001, 103.9052872)",0.02271385974778212,1.81348937187032,"(0.02271385974778212, 1.81348937187032)"
New Parliament House,"1 Parliament Place, S(178880)",\$1.13/30min from 8.01am to 6pm,\$2.06/entry from 6.01pm to 8am the following day,Charges same as weekdays,\$4.12/entry from 8am to 7.59am the following day,1.2890871000000002,103.8508373,"(1.2890871000000002, 103.85083730000001)",0.0224988142399854,1.8125390418379381,"(0.022498814239985399, 1.8125390418379381)"
Eunos Technolink,"3 Kaki Bukit Road 1, S(415935)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.3346483,103.9016193,"(1.3346483, 103.90161929999999)",0.023294007191145036,1.8134253549386858,"(0.023294007191145036, 1.8134253549386858)"
Peace Centre,"1 Sophia Road, S(228149)",\$1.39/30min from 7am to 7pm,\$1.50/30min from 7pm to 7am the following day,"\$1.39/30min from 7am to 7pm, \$4.28/entry from 7pm to 7am the following day",\$4.28/entry from 7am to 7am the following day,1.3013293,103.8491921,"(1.3013292999999999, 103.8491921)",0.022712480937673044,1.8125103276810843,"(0.022712480937673044, 1.8125103276810843)"
Pearl's Centre,"100 Eu Tong Sen Street, S(059812)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2815257,103.840474,"(1.2815257, 103.840474)",0.022366842913925097,1.8123581681315664,"(0.022366842913925097, 1.8123581681315664)"
Peninsula Excelsior Hotel,"5 Coleman Street, S(179805)","\$3.00 for 1st hr, \$1.80 for next subsequent 30min from 8am to 5pm",\$4.00/entry from 5pm to 8am the following day,Charges same as weekdays,"\$1.50/hr from 8am to 5pm, \$4.00/entry from 5pm to 8am the following day",1.2920153,103.8498618,"(1.2920153000000001, 103.8498618)",0.022549920971142296,1.8125220161510849,"(0.022549920971142296, 1.8125220161510849)"
Peninsula Hotel,"3 Coleman Street, S(179804)","\$2.60 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/hr from 8am to 8am the following day,1.291884,103.8500517,"(1.291884, 103.85005169999999)",0.022547629353834427,1.8125253305313345,"(0.022547629353834427, 1.8125253305313345)"
Market Street Car Park,"146 Market Street, S(048945)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2818114,103.8501129,"(1.2818114, 103.85011290000001)",0.022371829319598045,1.8125263986728368,"(0.022371829319598045, 1.8125263986728368)"
Singapore Marriott Hotel,"320 Orchard Road, S(238865)","\$3.00 for 1st hr, \$0.05/min from 6am to 6pm","\$3.00 for 1st hr, \$0.05/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,1.3049283,103.8331385,"(1.3049283, 103.8331385)",0.02277529533745232,1.8122301395042864,"(0.022775295337452321, 1.8122301395042864)"
MAS Building,"10 Shenton Way, S(079117)",Season Parking Only,Season Parking Only,Season And Tenant Parking Only,Season And Tenant Parking Only,1.2748177,103.8467157,"(1.2748177000000001, 103.8467157)",0.022249766227701317,1.812467106347488,"(0.022249766227701317, 1.812467106347488)"
Mediacorp,"Andrew Road, S(299939)",\$1.07/hr up to a maximum charge of \$6.42/day from 7am to 6pm,\$2.14/entry from 6pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays,1.3364364,103.833245,"(1.3364364, 103.83324499999999)",0.023325215423499947,1.8122319982799397,"(0.023325215423499947, 1.8122319982799397)"
Merchant Square,"1 Angus Street, S(058275)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.2884603000000001,103.843518,"(1.2884602999999999, 103.843518)",0.022487874516233897,1.812411295953997,"(0.022487874516233897, 1.8124112959539971)"
Mandarin Gallery,"330 Orchard Road, S(238867)","\$3.60 for 1st hr, \$0.06 for next subsequent min from 6am to 6pm","\$3.60 for 1st hr, \$0.04/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,1.3035183,103.8347326,"(1.3035183000000001, 103.8347326)",0.0227506861949992,1.8122579617978922,"(0.0227506861949992, 1.8122579617978922)"
Midlink Plaza,"122 Middle Road, S(188973)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.299664,103.8530481,"(1.2996639999999999, 103.8530481)",0.022683415969639582,1.812577627577041,"(0.022683415969639582, 1.8125776275770411)"
Midpoint Orchard,"220 Orchard Road, S(238852)",No Car Park,No Car Park,No Car Park,No Car Park,1.3017106,103.838732,"(1.3017106000000001, 103.83873199999999)",0.0227191358781109,1.8123277644959963,"(0.022719135878110901, 1.8123277644959963)"
Millenia Walk (Surface Car Park),"9 Raffles Boulevard, S(039596)","\$4.40 for 1st hr, \$1.65 for subsequent 30min from 7am to 6pm","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 6pm to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day",1.2927292,103.859401,"(1.2927291999999999, 103.85940100000001)",0.02256238087667228,1.8126885065990914,"(0.02256238087667228, 1.8126885065990914)"
Miramar Hotel,"401 Havelock Road, S(169631)","\$2.68 for 1st hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$3.75/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,1.2883200000000001,103.8374488,"(1.2883199999999999, 103.8374488)",0.02248542581929335,1.812305368431035,"(0.022485425819293348, 1.8123053684310351)"
Mount Alvernia Hospital,"820 Thomson Road, S(574623)","\$2.40 for 1st hr, \$1.30 for next subsequent 30min from 7am to 10pm",\$5.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3419083,103.8379548,"(1.3419083000000001, 103.83795479999999)",0.023420718094839824,1.8123141997970502,"(0.023420718094839824, 1.8123141997970502)"
Mount Elizabeth Hospital,"3 Mount Elizabeth, S(228510)","\$2.50/30min from 6.30am to 8am, \$3.30/30min from 8am to 11am, \$3.00/30min from 11am to 6.30pm",\$4.00/entry from 6.30pm to 6.30am,Charges same as weekdays,\$4.00/entry from 6.30am to 6.30am the following day,1.3050493,103.8354284,"(1.3050493000000001, 103.83542840000001)",0.022777407185847236,1.8122701057988275,"(0.022777407185847236, 1.8122701057988275)"
Mustafa Centre,"145 Syed Alwi Road, S(207704)","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3100896,103.855366,"(1.3100896, 103.855366)",0.022865377016135502,1.8126180825637732,"(0.022865377016135502, 1.8126180825637732)"
Nanyang Academy Of Fine Arts (NAFA),"80 Bencoolen Street, S(189655)",\$2.40/hr from 8am to 9.59pm,\$2.40/hr from 10pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.299809,103.8512578,"(1.299809, 103.8512578)",0.022685946697054975,1.8125463809474427,"(0.022685946697054975, 1.8125463809474427)"
