,Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude
365,Studio M Hotel,3 Nanson Road S(238910),"\$6.00 for 1st hr, \$4.50 for next subsequent hour",\$3.50/entry from 7pm to 7am the following day,Charges same as weekdays,\$3.50/entry from 7pm to 7am the following day,1.2907956,103.8391954
366,100 Pasir Panjang,100 Pasir Panjang Road S(118518),"\$1.80 for 1st hr, \$0.80 for next subsequent 30min or part thereof from 7am to 7pm","\$2.40/entry from 6pm to 11.59pm, \$1.20 for 1st hr, \$0.60 for next subsequent 30min from 12midnight to 5.59am the following day",Charges same as weekdays,Charges same as weekdays,1.2754986,103.7957715
367,Our Tampines Hub,"51 Tampines Avenue 4, S(529684)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 6am to 5.59pm",\$2.40/entry from 6pm to 6.59am the following day,Charges same as Weekdays,Charges same as Weekdays,1.3524314,103.9409849
368,Cideco Industrial Complex,50 Genting Lane S(349558),"\$1.35 for 1st hr, \$0.70 for subsequent 30min from 7am to 5.59pm","\$1.07 for 1st 2hr, \$1.07 for subsequent \$2.40/entry from 6pm to 6.59am the following day",Charges same as Weekdays,Charges same as Weekdays,1.3276175,103.8737528
369,City Industrial Building,"71 Tannery Lane, S(347807)","\$1.35 for 1st hr, \$0.70 for subsequent 30min from 7am to 5.59pm",\$1.07/entry from 6pm to 6am the following day,\$1.07/entry,\$1.07/entry,1.3269643999999998,103.8791035
370,Galaxis,"1 & 3 Fusionopolis Place, S(138577)",\$1.07/30min or part thereof from 6am to 6pm,"\$3.50/entry from 6pm to 5.59am the following day, free parking from 6.30pm to 9.59pm, \$2.50/entry from 10pm to 5.59am the following day",\$2.50/entry from 6am to 5.59am the following day,\$2.50/entry from 6am to 5.59am the following day,1.2924739,103.8565218
371,Aperia Mall,"8/10/12 Kallang Avenue, S(339509)","\$1.50 for 1st 2hr, \$3.00 for next subsequent hr",\$2.50/entry from 6.01pm to 7am the following day,"\$2.50 for 1st 2hr, \$1.20 for next subsequent 30min from 7.01am to 5pm, \$2.50/entry from 5.01pm to 7am the following day","\$2.50 for 1st 2hr, \$1.20 for next subsequent 30min from 7.01am to 5pm, \$2.50/entry from 5.01pm to 7am the following day",1.3108083,103.8643586
372,Capri By Fraser,"3 Changi, Business Park Central 1, S (486037)",\$0.70/30min from 7.01am to 6pm,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,1.3341011,103.9636612
373,Sofitel Singapore Sentosa Resort & Spa Hotel,"2 Bukit Manis Road, S(099891)",Complimentary parking for hotel guests only,\$3.21/entry from 5pm to 8am the following day,\$3.21/entry from 8am to 8am the following day,\$3.21/entry from 8am to 8am the following day,1.2456805,103.8278778
374,One15 Marina Club,"11 Cove Drive, S(098497)",\$3.21/entry from 8am to 5pm,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,1.2459842,103.8392463
375,The Warehouse Hotel,"320 Havelock Road, S(169628)",Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,1.2890431,103.8372797
376,Hilton Garden Inn,"3 Belilios Road, S(219924)",Complimentary parking for hotel guests only,\$2.40/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.3084622,103.8518951
377,Crowne Plaza Changi Airport,"75 Airport Boulevard, S(819664)",\$2.40/hr from 8am to 5pm,\$2.00/entry after 7pm,Charges same as weekdays,Charges same as weekdays,1.3586492,103.9880323
378,CT Hub,"2 Kallang Ave, S(339407)",\$1.80/hr before 7pm,\$3.50/entry from 7pm to 7am the following day,"\$2.25/30min from 7am to 1pm, \$3.50/entry from 1pm to 7am the following day",\$3.50/entry from 7am to 7am the following day,1.3122385,103.8628947
379,Singapore Chinese Cultural Centre,"1 Straits Boulevard, S(018906)",\$2.25/30min from 7am to 7pm,\$2.20/entry from 6pm to 6am the following day,"1st 2hr free, \$1.60 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm, \$2.20/entry from 6pm to 6am the following day","1st 2hr free, \$1.60 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm, \$2.20/entry from 6pm to 6am the following day",1.275964,103.849523
380,Zhongshan Mall,"20 Ah Hood Road, S(329984)","\$1.60 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm, free parking from 12pm to 2pm","\$1.20 for 1st hr, \$0.80 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,1.3277894,103.8475462
381,Junction Nine,18 Yishun Avenue 9,"\$1.20 for 1st hr, \$0.80 for next subsequent 30min",,,,1.4335409,103.8413412
