Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude_rad,Longitude_rad,Coord_rad
Regent Hotel (Basement Parking),"1 Cuscaden Road, S(249715)","\$5.00 for 1st hr, \$2.50 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,0.022770825549237962,1.812085202127213,"(0.022770825549237962, 1.8120852021272129)"
RELC International Hotel,"30 Orange Grove Road, S(258352)","\$4.00 for 1st hr, \$3.00 for next subsequent 1hr from 7am to 5pm",\$4.50/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.50/entry from 7am to 7am the following day,0.0229151241358051,1.8121076069188207,"(0.022915124135805098, 1.8121076069188207)"
Ren Ci Long Term Care,"10 Buangkok View, S(539747)",\$2.40/30min from 7am to 6pm,"\$2.40/entry from 6pm to 9pm, \$0.04/min from 9pm to 7am the following day","\$0.04/min from 7am to 1pm, \$2.40/entry from 1pm to 9pm, \$0.04/min from 9pm to 7am the following day","\$2.10/entry from 7am to 9pm, \$0.04/min from 9pm to 7am the following day",0.02412389379717582,1.8131305705733534,"(0.024123893797175819, 1.8131305705733534)"
Republic Plaza,"9 Raffles Place, S(048619)",\$3.00/30min from 7am to 5pm,\$3.50/entry from 5pm to 7am the following day,\$3.50/entry from 7am to 7am the following day,\$3.50/entry from 7am to 7am the following day,0.02239681196251109,1.8125390174033287,"(0.022396811962511091, 1.8125390174033287)"
NTU RTP Car Park (Research Techno Plaza),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking from 10pm to 8am the following day",Free Parking,Free Parking,0.023522647068485544,1.8096072395057674,"(0.023522647068485544, 1.8096072395057674)"
"The Ritz Carlton, Millenia Singapore","7 Raffles Avenue, S(039799)","\$3.30 for 1st hr, \$1.10 for next subsequent 30min from 7am to 6pm",\$2.20/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day","\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day",0.022527877462689604,1.8127002125223846,"(0.022527877462689604, 1.8127002125223846)"
River View Hotel,"382 Havelock Road, S(169629)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$4.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,0.022503093787311284,1.8122914424489331,"(0.022503093787311284, 1.8122914424489331)"
Robertson Walk,"11 Unity Street, S(237995)","\$1.50 for 1st hr, \$0.50 for next subsequent 30min form 6am to 6pm",\$4.00/entry from 6pm to 6am the following day,Charges same as weekdays,\$4.00/entry from 6am to 6am the following day,0.02254921236746598,1.8123753369354183,"(0.02254921236746598, 1.8123753369354183)"
Robinson Centre,"61 Robinson Road, S(068893)",\$2.20/30min from 8am to 5pm,\$3.00/entry from 5pm to 8am the following day,"Charges same as weekdays, but \$2.50/entry after 1pm","Charges same as weekdays, but \$2.50/entry after 1pm",0.022327206486612305,1.8125112195443323,"(0.022327206486612305, 1.8125112195443323)"
Roxy Square,"50 East Coast Road, S(428769)","\$1.30 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm",\$2.50/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays,0.022758557629925694,1.8134715468226692,"(0.022758557629925694, 1.8134715468226692)"
Royal Hotel,"36 Newton Road, S(307964)",\$1.71/hr from 6am to 6pm,\$3.21/entry after 6pm,Charges same as weekdays,Charges same as weekdays,0.022982659651211018,1.8123818313055648,"(0.022982659651211018, 1.8123818313055648)"
Royal Plaza on Scotts,"25 Scotts Road, S(228220)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 8am to 6pm",\$5.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$5.50/entry from 8am to 8am the following day,0.022813849660628875,1.8122191648739496,"(0.022813849660628875, 1.8122191648739496)"
Selegie Complex,"257 Selegie Road, S(188350)",*Building Demolished*,*Building Demolished*,*Building Demolished*,*Building Demolished*,0.02276029772318993,1.8125280235743704,"(0.02276029772318993, 1.8125280235743704)"
